Question,Responses
What are some barriers or things that slow you down to doing your research or work?  ,Absurd admin / legal stuff around getting and providing others with access to data
What are some barriers or things that slow you down to doing your research or work?  ,Adhering to vastly different publishing guidelines and standards
What are some barriers or things that slow you down to doing your research or work?  ,Admin work
What are some barriers or things that slow you down to doing your research or work?  ,Always having to fill in forms that don't make sense but you have to anyway
What are some barriers or things that slow you down to doing your research or work?  ,Crappy computer
What are some barriers or things that slow you down to doing your research or work?  ,Data sharing / access problems
What are some barriers or things that slow you down to doing your research or work?  ,Depending on collaborators not getting back
What are some barriers or things that slow you down to doing your research or work?  ,Double ups on certain tasks when it wasn't clarified who should have done what
What are some barriers or things that slow you down to doing your research or work?  ,Endless request for just a bit of your time..
What are some barriers or things that slow you down to doing your research or work?  ,Feeling like what i do doesn't matter because there are bigger issues to deal with
What are some barriers or things that slow you down to doing your research or work?  ,Figuring out administrative rules and regulations
What are some barriers or things that slow you down to doing your research or work?  ,Having to fill out an application for everything (at least when you are associated with a university)
What are some barriers or things that slow you down to doing your research or work?  ,Having to spend a majority of time thinking about how to get ideas funded
What are some barriers or things that slow you down to doing your research or work?  ,"Having to switch all the time between lots of different types of tasks, no days / weeks to focus on just a new project."
What are some barriers or things that slow you down to doing your research or work?  ,Ineffective meetings
What are some barriers or things that slow you down to doing your research or work?  ,Ineffective software/website platforms that don't make sense and are difficult to navigate
What are some barriers or things that slow you down to doing your research or work?  ,Lack of a single bigger vision for what we do.. lots of fragmentation into different little projects.
What are some barriers or things that slow you down to doing your research or work?  ,Lack of funding
What are some barriers or things that slow you down to doing your research or work?  ,Lack of skilled help
What are some barriers or things that slow you down to doing your research or work?  ,Lack of standard procedures
What are some barriers or things that slow you down to doing your research or work?  ,Lack of supervision - supervisor is not available
What are some barriers or things that slow you down to doing your research or work?  ,"No consensus on how to do things, everyone doing their own thing"
What are some barriers or things that slow you down to doing your research or work?  ,"Non-standardized processes, such as having to heavily reformat manuscript for submission to different journals."
What are some barriers or things that slow you down to doing your research or work?  ,Not being able to take the time to draft a plan
What are some barriers or things that slow you down to doing your research or work?  ,"Not having a framework, but starting from scratch"
What are some barriers or things that slow you down to doing your research or work?  ,Not having enough skill in r
What are some barriers or things that slow you down to doing your research or work?  ,Organisational and technical design choices that hinder work and motivation
What are some barriers or things that slow you down to doing your research or work?  ,Organisations that don't actively seek feedback on how to improve their systems
What are some barriers or things that slow you down to doing your research or work?  ,Paywalls
What are some barriers or things that slow you down to doing your research or work?  ,Poor technical skills
What are some barriers or things that slow you down to doing your research or work?  ,Pressure to publish stuff
What are some barriers or things that slow you down to doing your research or work?  ,Research culture that favours novel ideas rather than caring about fixing itself
What are some barriers or things that slow you down to doing your research or work?  ,Shortsighted colleagues/collaborators
What are some barriers or things that slow you down to doing your research or work?  ,Spending too much time figuring out what is the best way of doing something (too much choice).
What are some barriers or things that slow you down to doing your research or work?  ,Starting everything from scratch
What are some barriers or things that slow you down to doing your research or work?  ,Switching from stata to r :-)
What are some barriers or things that slow you down to doing your research or work?  ,Too many emails
What are some barriers or things that slow you down to doing your research or work?  ,Too many meetings
What are some barriers or things that slow you down to doing your research or work?  ,Too many secondary tasks
What are some barriers or things that slow you down to doing your research or work?  ,"Too many tasks, and switching between them"
What are some barriers or things that slow you down to doing your research or work?  ,Too much admin tasks
What are some barriers or things that slow you down to doing your research or work?  ,Trying to interpret meaning from email/text where someone has given written input
What are some barriers or things that slow you down to doing your research or work?  ,Use of non-standardised methods/tooling
What are some barriers or things that slow you down to doing your research or work?  ,Waiting for feedback from others
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Building an r package that helps with some basic setup and open sci tasks
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Considering alternative ways to disseminate research findings
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Create a list of  online platforms  and databases that are already out there which can help researchers
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Create a repository/list of various tools/workflows/hints of how to improve your science in relation to open science
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Data infrastructure project (dd2)
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Guidelines on various data handling procedures
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,I think looking at and compiling already existing resources would be quite valuable. Then we can add what we think is missing and determine how much new content we need to create vs how much we should reorganize old content
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Mapping institutions who are cutting edge in this area
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,"Maybe some sort of ""standard operating procedure"" for how to develop good workflows/pipelines"
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Scoping review
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Scrapping websites and publications for projects and initiatives similar to this one. To map out the space
What are some projects that we could work on together in order to develop the best practices for collaboration and research? ,Templates for setting expectations and getting agreement for how to navigate shared data/software/files
